depcom,ze10,canton_ville,dep,categorie_com,pop,pophom,popfem,actemp_hom,actemp_fem,chom_hom,chom_fem,ret,ele,foy_hom,foy_fem,ina,autre,part_ele,part_ret,academie,libgeo,partchfem
01232,8202,0111,01,112,2182,1105,1077,551,482,18,37,571,123,2,17,380,NA,5.6370302475,26168652612,L,Marboz (01232),0.1
01233,8209,0118,01,112,118,63,55,27,20,2,1,37,2,NA,1,28,NA,1.6949152542,31355932203,L,Marchamp (01233),0
01234,8216,0136,01,300,148,70,78,29,30,1,1,46,14,NA,3,24,NA,9.4594594595,31081081081,L,Marignieu (01234),0
01235,8213,0135,01,112,887,446,441,221,183,12,18,170,55,NA,14,214,NA,6.2006764374,1916572717,L,Marlieux (01235),0.1
01236,8202,0121,01,112,1005,512,493,248,208,17,14,209,52,4,21,231,NA,5.1741293532,207960199,L,Marsonnas (01236),0.1
01237,8203,0141,01,111,1604,815,789,386,338,23,54,276,121,NA,36,369,NA,7.5436408978,17206982544,L,Martignat (01237),0.2
01238,8213,0142,01,111,2428,1213,1215,594,521,34,40,433,204,NA,53,549,NA,8.4019769357,17833607908,L,Massieux (01238),0.2
01239,8216,0104,01,300,608,311,297,151,131,7,12,142,36,NA,15,115,NA,5.9210526316,23355263158,L,Massignieu-de-Rives (01239),0
01240,8203,0116,01,112,652,338,314,184,137,12,17,110,34,NA,8,150,NA,5.2147239264,16871165644,L,Matafelon-Granges (01240),0.1
01241,8202,0133,01,112,1298,646,652,299,281,20,10,281,77,NA,16,313,NA,5.9322033898,21648690293,L,Meillonnas (01241),0
01242,8201,0124,01,120,139,68,71,41,27,1,5,20,4,NA,2,39,NA,2.8776978417,14388489209,L,Mérignat (01242),0
01243,8213,0130,01,111,1209,586,623,292,286,16,12,211,64,NA,30,299,NA,5.2936311001,17452440033,L,Messimy-sur-Saône (01243),0
01244,8201,0119,01,112,7268,3500,3768,1738,1587,164,202,1243,498,3,229,1604,NA,6.85195377,17102366538,L,Meximieux (01244),0.8
01245,8202,0107,01,112,811,410,401,209,187,8,11,175,39,NA,20,162,NA,4.8088779285,21578298397,L,Bohas-Meyriat-Rignat (01245),0
01246,8202,0110,01,120,2072,1047,1025,501,425,55,49,438,126,1,47,431,NA,6.0810810811,21138996139,L,Mézériat (01246),0.2
01247,8219,0114,01,400,379,204,175,119,95,NA,2,60,20,1,5,77,NA,5.2770448549,15831134565,L,Mijoux (01247),0
01248,8214,0142,01,112,2077,1040,1037,563,492,42,39,232,205,2,36,466,NA,9.8700048146,11169956668,L,Mionnay (01248),0.2
01249,8214,0140,01,111,9066,4376,4690,2070,1998,255,209,1672,646,4,174,2038,NA,7.1255239356,18442532539,L,Miribel (01249),0.8
01250,8213,0142,01,111,1762,849,913,428,408,24,32,274,208,1,22,365,NA,11.80476731,15550510783,L,Misérieux (01250),0.1
01252,8213,0132,01,112,727,377,350,188,144,20,17,125,45,NA,20,168,NA,6.1898211829,1719394773,L,Mogneneins (01252),0.1
01254,8202,0139,01,112,1646,835,811,418,388,10,17,334,118,1,32,329,NA,7.1688942892,20291616039,L,Montagnat (01254),0.1
01255,8201,0118,01,112,495,251,244,128,90,5,15,124,21,NA,18,94,NA,4.2424242424,25050505051,L,Montagnieu (01255),0.1
