depcom;ze10;canton_ville;dep;categorie_com;pop;pophom;popfem;actemp_hom;actemp_fem;chom_hom;chom_fem;ret;ele;foy_hom;foy_fem;ina;autre;part_ele;part_ret;academie;libgeo
01329;8216;0136;01;300;148;75;73;35;25;4;6;48;9;;6;16;;6.0810810811;32.432432432;L;Rossillon (01329)
01330;8203;0109;01;300;202;98;104;42;38;3;6;53;13;;4;43;;6.4356435644;26.237623762;L;Ruffieu (01330)
01331;8201;0124;01;300;163;79;84;33;30;2;2;41;13;;3;39;;7.9754601227;25.153374233;L;Saint-Alban (01331)
01332;0053;0102;01;112;635;315;320;171;157;5;8;108;33;;9;145;;5.1968503937;17.007874016;L;Saint-André-de-Bâgé (01332)
01333;8214;0142;01;112;2991;1448;1543;705;672;34;35;687;245;1;49;563;;8.1912403878;22.96890672;L;Saint-André-de-Corcy (01333)
01334;0053;0127;01;112;543;275;268;153;125;6;10;81;30;2;7;129;;5.5248618785;14.917127072;L;Saint-André-d'Huiriat (01334)
01335;8213;0110;01;112;316;160;156;82;83;1;4;48;14;;3;82;;4.4303797468;15.189873418;L;Saint-André-le-Bouchoux (01335)
01336;8202;0139;01;112;1079;531;548;254;242;23;28;232;64;;14;222;;5.9314179796;21.501390176;L;Saint-André-sur-Vieux-Jonc (01336)
01337;0053;0126;01;120;1161;593;568;280;206;20;27;293;63;;25;246;;5.4263565891;25.236864772;L;Saint-Bénigne (01337)
01338;8209;0118;01;112;773;378;395;173;150;13;20;178;44;2;17;176;;5.6921086675;23.027166882;L;Saint-Benoît (01338)
01339;8213;0134;01;111;1375;665;710;320;278;13;16;330;106;;44;269;;7.7090909091;24;L;Saint-Bernard (01339)
01340;8216;0104;01;212;123;58;65;28;27;;4;39;3;1;2;19;;2.4390243902;31.707317073;L;Saint-Bois (01340)
01341;8216;0104;01;212;139;68;71;32;28;1;1;50;5;;2;19;;3.5971223022;35.971223022;L;Saint-Champ (01341)
01342;8214;0120;01;112;534;271;263;150;130;4;8;66;43;;8;125;;8.0524344569;12.359550562;L;Sainte-Croix (01342)
01343;0053;0127;01;112;1636;836;800;408;393;21;22;291;91;1;24;386;;5.5623471883;17.787286064;L;Saint-Cyr-sur-Menthon (01343)
01344;8202;0143;01;111;5405;2610;2795;1174;1155;72;75;1446;407;2;110;963;;7.5300647549;26.753006475;L;Saint-Denis-lès-Bourg (01344)
01345;8201;0101;01;112;2178;1078;1100;514;472;44;55;450;122;3;74;444;;5.6014692378;20.661157025;L;Saint-Denis-en-Bugey (01345)
01346;8202;0121;01;112;863;428;435;211;182;7;19;178;50;1;6;209;;5.7937427578;20.625724218;L;Saint-Didier-d'Aussiat (01346)
01347;8213;0134;01;111;1792;917;875;454;381;29;31;290;176;1;53;377;;9.8214285714;16.183035714;L;Saint-Didier-de-Formans (01347)
