depcom;ze10;canton_ville;dep;categorie_com;pop;pophom;popfem;actemp_hom;actemp_fem;chom_hom;chom_fem;ret;ele;foy_hom;foy_fem;ina;autre;part_ele;part_ret;academie;libgeo
01409;8216;0109;01;400;130;60;70;27;21;3;3;50;6;;1;19;;4.6153846154;38.461538462;L;Songieu (01409)
01410;8203;0116;01;300;320;167;153;90;69;7;3;41;22;;11;77;;6.875;12.8125;L;Sonthonnax-la-Montagne (01410)
01411;8201;0117;01;112;261;132;129;64;50;2;4;62;10;;12;59;;3.8314176245;23.754789272;L;Souclin (01411)
01412;8213;0110;01;120;569;293;276;144;129;10;17;101;34;;5;128;;5.9753954306;17.750439367;L;Sulignat (01412)
01413;8219;0103;01;120;78;36;42;17;14;;3;25;3;;1;15;;3.8461538462;32.051282051;L;Surjoux (01413)
01414;8216;0109;01;300;235;120;115;56;39;3;5;71;10;1;7;42;;4.2553191489;30.212765957;L;Sutrieu (01414)
01415;8216;0109;01;300;425;217;208;103;83;8;9;92;15;;10;105;;3.5294117647;21.647058824;L;Talissieu (01415)
01416;8201;0128;01;112;1120;561;559;231;171;18;28;352;62;2;41;214;;5.5357142857;31.428571429;L;Tenay (01416)
01417;8203;0115;01;222;324;159;165;79;60;3;4;92;14;;8;63;;4.3209876543;28.395061728;L;Thézillieu (01417)
01418;8214;0140;01;112;1070;540;530;281;245;18;16;172;100;1;13;224;;9.3457943925;16.074766355;L;Thil (01418)
01419;8219;0113;01;111;5205;2604;2601;1454;1107;60;97;602;361;7;292;1226;;6.9356388088;11.565802113;L;Thoiry (01419)
01420;8213;0132;01;120;1540;655;885;315;292;32;53;484;73;2;31;258;;4.7402597403;31.428571429;L;Thoissey (01420)
01421;8201;0128;01;112;698;363;335;181;156;5;7;151;45;1;32;119;;6.446991404;21.633237822;L;Torcieu (01421)
01422;8202;0125;01;112;1406;704;702;374;342;7;11;227;114;;24;306;;8.1081081081;16.145092461;L;Tossiat (01422)
01423;8213;0142;01;111;769;379;390;211;198;14;11;112;77;1;11;135;;10.013003901;14.564369311;L;Toussieux (01423)
01424;8214;0142;01;112;1674;845;829;412;388;22;21;238;192;1;29;371;;11.46953405;14.21744325;L;Tramoyes (01424)
01425;8202;0125;01;112;301;147;154;80;60;1;4;69;21;;2;65;;6.976744186;22.92358804;L;Tranclière (La) (01425)
01426;8202;0133;01;112;2204;1120;1084;563;481;34;44;438;124;1;33;486;;5.6261343013;19.872958258;L;Treffort-Cuisiat (01426)
01427;8213;0134;01;111;6730;3331;3399;1633;1386;176;185;1061;450;2;218;1616;;6.6864784547;15.765230312;L;Trévoux (01427)
01428;8213;0132;01;112;88;46;42;22;20;;1;20;3;1;;21;;3.4090909091;22.727272727;L;Valeins (01428)
01429;8202;0143;01;112;619;314;305;164;146;3;8;106;39;1;7;143;;6.3004846527;17.124394184;L;Vandeins (01429)
01430;8201;0125;01;112;521;273;248;143;100;17;21;92;28;;10;110;;5.3742802303;17.658349328;L;Varambon (01430)
01431;8201;0117;01;112;1169;568;601;304;246;18;21;242;61;;29;247;;5.2181351583;20.701454234;L;Vaux-en-Bugey (01431)
01432;8202;0111;01;112;250;121;129;55;58;2;5;74;7;;3;46;;2.8;29.6;L;Verjon (01432)
01433;8202;0129;01;400;285;142;143;80;71;5;9;35;11;;6;68;;3.8596491228;12.280701754;L;Vernoux (01433)
01434;8214;0108;01;112;332;161;171;79;65;3;10;75;22;;4;73;;6.6265060241;22.590361446;L;Versailleux (01434)
01435;8219;0113;01;112;2144;1070;1074;542;488;34;47;233;158;6;80;556;;7.3694029851;10.867537313;L;Versonnex (01435)
01436;8219;0114;01;112;526;250;276;139;136;10;9;86;35;1;13;97;;6.6539923954;16.349809886;L;Vesancy (01436)
01437;0053;0129;01;300;208;112;96;51;44;3;3;50;9;;4;43;;4.3269230769;24.038461538;L;Vescours (01437)
01439;0053;0102;01;112;91;48;43;25;18;;2;18;6;;2;20;;6.5934065934;19.78021978;L;Vésines (01439)
01441;8203;0106;01;300;693;349;344;190;140;11;12;114;50;;17;159;;7.215007215;16.45021645;L;Vieu-d'Izenave (01441)
01442;8216;0109;01;300;380;188;192;77;78;8;3;116;16;;13;69;;4.2105263158;30.526315789;L;Vieu (01442)
01443;8214;0135;01;112;4399;2121;2278;1079;963;50;73;1006;365;1;90;772;;8.2973403046;22.868833826;L;Villars-les-Dombes (01443)
01444;8201;0117;01;112;1153;593;560;312;235;18;31;216;53;1;32;254;;4.5967042498;18.733738075;L;Villebois (01444)
01445;8202;0111;01;112;632;324;308;169;146;14;10;93;27;;10;163;;4.2721518987;14.715189873;L;Villemotier (01445)
01446;8213;0130;01;112;1383;707;676;385;311;7;27;173;89;2;26;364;;6.435285611;12.509038322;L;Villeneuve (01446)
01447;8202;0107;01;112;1208;582;626;283;255;16;17;316;70;1;29;219;;5.7947019868;26.158940397;L;Villereversure (01447)
01448;8219;0103;01;300;385;200;185;108;91;7;6;54;29;1;12;77;;7.5324675325;14.025974026;L;Villes (01448)
01449;8201;0108;01;112;673;347;326;179;142;13;14;104;51;;20;151;;7.5780089153;15.453194651;L;Villette-sur-Ain (01449)
01450;8201;0119;01;112;3095;1564;1531;780;688;51;60;526;219;1;58;713;;7.0759289176;16.995153473;L;Villieu-Loyes-Mollon (01450)
01451;8202;0143;01;111;6006;3040;2966;1388;1268;91;117;1347;423;5;80;1287;;7.042957043;22.427572428;L;Viriat (01451)
01452;8216;0136;01;300;1156;574;582;267;220;35;26;244;59;1;43;262;;5.1038062284;21.107266436;L;Virieu-le-Grand (01452)
01453;8216;0109;01;400;309;154;155;65;54;1;3;78;21;;6;80;;6.7961165049;25.242718447;L;Virieu-le-Petit (01453)
01454;8216;0104;01;212;855;431;424;223;182;7;17;146;49;;23;208;;5.730994152;17.076023392;L;Virignin (01454)
01456;8216;0136;01;300;74;39;35;15;11;;;29;4;;2;12;;5.4054054054;39.189189189;L;Vongnes (01456)
01457;8202;0110;01;120;2790;1389;1401;586;511;62;72;695;166;2;60;636;;5.9498207885;24.910394265;L;Vonnas (01457)
